name,credits,institution
Vikram,143,JNU
Vikram,180,IIT Bombay
Riya,145,IIT Delhi
Deepak,128,IIT Bombay
Mehul,67,IIIT Hyderabad
Rohit,51,IIIT Hyderabad
Rahul,25,NIT Trichy
Arjun,76,IIT Kanpur
Ankit,140,JNU
Ankit,156,NIT Trichy
Rahul,117,NIT Surathkal
Pooja,59,IIT Kanpur
Manish,89,IIT Kanpur
Suresh,139,BITS Pilani
Mehul,71,NIT Trichy
Manish,61,BITS Pilani
Rahul,179,IIT Kanpur
Nisha,24,IIT Delhi
Deepak,31,NIT Surathkal
Pooja,145,IIT Madras
Riya,139,NIT Surathkal
Suresh,134,BITS Pilani
Arjun,150,NIT Surathkal
Nisha,95,IIIT Hyderabad
Sneha,110,IIIT Hyderabad
Simran,124,BITS Pilani
Ankit,84,NIT Trichy
Amit,57,DU
Deepak,31,IIT Madras
Sneha,168,JNU
Priya,118,NIT Trichy
Riya,49,NIT Surathkal
Neha,134,JNU
Simran,159,NIT Surathkal
Arjun,156,JNU
Suresh,23,IIT Bombay
Rohit,33,IIT Kanpur
Neha,25,DU
Sneha,29,NIT Surathkal
Pooja,131,NIT Trichy
Kavita,62,IIT Bombay
Amit,169,IIT Madras
Manish,106,DU
Manish,87,IIT Bombay
Riya,168,IIIT Hyderabad
Simran,143,IIIT Hyderabad
Vikas,36,NIT Trichy
Arjun,107,IIT Kanpur
Kavita,151,DU
Ankit,65,IIT Delhi
Vikas,125,IIIT Hyderabad
Riya,111,NIT Trichy
Nisha,144,BITS Pilani
Manish,159,IIT Kanpur
Vikas,94,NIT Surathkal
Nisha,95,IIT Delhi
Ankit,178,IIT Bombay
Nisha,88,IIT Madras
Sneha,171,DU
Nisha,137,IIIT Hyderabad
Priya,69,NIT Surathkal
Mehul,98,NIT Trichy
Simran,28,NIT Trichy
Kiran,52,DU
Nisha,27,JNU
Simran,99,JNU
Suresh,117,DU
Arjun,31,IIT Delhi
Deepak,115,BITS Pilani
Rohit,135,DU
Ankit,67,NIT Surathkal
Nisha,140,IIT Madras
Mehul,87,IIT Bombay
Amit,144,DU
Deepak,134,IIIT Hyderabad
Amit,106,IIIT Hyderabad
Amit,77,DU
Kavita,80,BITS Pilani
Nisha,31,IIT Delhi
Neha,97,IIIT Hyderabad
Kavita,79,IIT Kanpur
Vikram,114,NIT Surathkal
Arjun,83,IIIT Hyderabad
Sneha,163,IIIT Hyderabad
Nisha,135,IIT Delhi
Nisha,101,IIT Kanpur
Deepak,67,NIT Surathkal
Rahul,46,JNU
Riya,85,JNU
Kiran,102,IIT Kanpur
Nisha,163,IIIT Hyderabad
Amit,38,DU
Riya,62,IIT Kanpur
Suresh,153,IIT Madras
Mehul,165,IIT Bombay
Rohit,100,IIIT Hyderabad
Suresh,97,IIT Kanpur
Priya,154,BITS Pilani
Riya,148,IIT Bombay
Ankit,138,NIT Surathkal
Suresh,167,JNU
Vikas,124,NIT Surathkal
Nisha,112,IIT Bombay
Rohit,108,BITS Pilani
Kiran,64,IIT Kanpur
Kiran,50,DU
Vikas,69,NIT Trichy
Rahul,178,NIT Trichy
Kiran,176,IIT Delhi
Rahul,22,IIT Madras
Simran,138,JNU
Rohit,113,IIIT Hyderabad
Arjun,72,BITS Pilani
Mehul,114,IIT Kanpur
Simran,164,IIT Delhi
Vikas,168,IIT Bombay
Priya,24,IIT Madras
Priya,101,IIT Kanpur
Vikas,171,IIT Delhi
Priya,94,NIT Trichy
Priya,63,DU
Rohit,169,NIT Trichy
Amit,111,IIIT Hyderabad
Arjun,43,DU
Riya,89,IIT Delhi
Rahul,36,IIT Kanpur
Priya,29,IIT Bombay
Mehul,75,IIT Madras
Vikram,92,DU
Rahul,47,IIIT Hyderabad
Sneha,82,NIT Surathkal
Mehul,38,IIT Bombay
Simran,82,IIT Delhi
Mehul,132,IIT Bombay
Amit,30,NIT Surathkal
Ankit,163,IIT Bombay
Rohit,82,NIT Surathkal
Amit,54,JNU
Amit,64,IIT Bombay
Priya,38,IIIT Hyderabad
Ankit,32,IIT Delhi
Vikram,61,IIT Bombay
Kavita,41,JNU
Rohit,79,BITS Pilani
Amit,99,IIT Bombay
Simran,120,IIT Madras
Sneha,95,BITS Pilani
Sneha,55,DU
Priya,177,IIIT Hyderabad
Priya,53,DU
Nisha,91,IIT Kanpur
Rohit,42,IIT Bombay
Mehul,60,IIIT Hyderabad
Rohit,144,DU
Manish,27,IIT Madras
Priya,135,DU
Simran,50,BITS Pilani
Nisha,177,IIT Bombay
Amit,158,IIT Delhi
Manish,125,NIT Trichy
Simran,75,BITS Pilani
Priya,129,JNU
Ankit,113,IIT Madras
Neha,174,IIT Delhi
Priya,40,IIT Delhi
Amit,67,NIT Trichy
Priya,43,NIT Trichy
Amit,134,IIIT Hyderabad
Amit,55,IIT Kanpur
Kavita,79,DU
Suresh,79,BITS Pilani
Priya,52,IIT Madras
Mehul,103,IIT Delhi
Vikas,119,IIIT Hyderabad
Rahul,176,IIT Delhi
Kavita,158,BITS Pilani
Sneha,90,NIT Surathkal
Priya,131,JNU
Riya,151,NIT Trichy
Rohit,97,NIT Surathkal
Manish,132,IIT Kanpur
Simran,39,NIT Surathkal
Ankit,143,IIT Bombay
Suresh,29,BITS Pilani
Kavita,65,IIT Delhi
Neha,35,JNU
Rahul,129,NIT Surathkal
Manish,162,DU
Suresh,95,IIT Delhi
Sneha,165,DU
Pooja,27,JNU
Ankit,180,DU
Manish,169,IIT Delhi
Amit,87,IIIT Hyderabad
Amit,177,JNU
Vikas,49,IIT Bombay
Kavita,39,DU
Rahul,39,IIT Bombay
Manish,139,IIT Bombay
Neha,92,IIT Delhi
Pooja,92,JNU
Pooja,20,DU
Neha,153,NIT Surathkal
Priya,97,IIT Kanpur
Nisha,39,BITS Pilani
Priya,82,NIT Trichy
Sneha,53,NIT Trichy
Kiran,134,IIIT Hyderabad
Suresh,163,IIT Kanpur
Mehul,155,IIT Kanpur
Pooja,106,NIT Surathkal
Manish,86,IIT Bombay
Neha,168,DU
Suresh,177,JNU
Deepak,61,IIT Delhi
Vikram,77,IIT Bombay
Mehul,76,IIT Delhi
Neha,100,BITS Pilani
Nisha,95,IIT Kanpur
Riya,52,NIT Trichy
Amit,29,IIT Delhi
Deepak,168,IIT Madras
Amit,40,IIT Kanpur
Priya,78,NIT Trichy
Amit,64,DU
Priya,139,IIT Delhi
Ankit,91,IIT Madras
Vikas,130,BITS Pilani
Neha,87,DU
Priya,28,IIT Madras
Amit,169,IIT Madras
Sneha,138,IIT Bombay
Ankit,123,DU
Mehul,73,IIT Madras
Sneha,20,IIT Delhi
Rohit,53,BITS Pilani
Kiran,169,JNU
Vikram,49,IIT Delhi
Deepak,164,NIT Trichy
Kavita,90,NIT Surathkal
Riya,143,IIT Delhi
Vikram,138,JNU
Pooja,154,IIT Madras
Kiran,63,DU
Kiran,121,NIT Trichy
Priya,108,DU
Priya,35,IIT Bombay
Sneha,179,IIIT Hyderabad
Ankit,85,IIT Delhi
Suresh,91,IIT Bombay
Amit,167,DU
Rahul,157,NIT Trichy
Sneha,72,BITS Pilani
Priya,74,IIIT Hyderabad
Deepak,162,IIT Madras
Manish,100,BITS Pilani
Arjun,97,IIIT Hyderabad
Sneha,47,IIT Madras
Pooja,49,IIT Delhi
Suresh,144,IIT Kanpur
Sneha,66,BITS Pilani
Riya,58,IIT Kanpur
Riya,112,IIT Bombay
Simran,142,NIT Surathkal
Deepak,159,NIT Trichy
Suresh,169,IIT Madras
Deepak,90,IIT Bombay
Simran,75,NIT Trichy
Arjun,159,JNU
Rohit,122,BITS Pilani
Vikram,129,IIT Madras
Vikram,70,DU
Vikas,88,BITS Pilani
Mehul,168,BITS Pilani
Mehul,99,IIT Delhi
Rahul,143,IIT Madras
Manish,44,BITS Pilani
Kiran,91,IIT Kanpur
Manish,88,NIT Trichy
Ankit,68,IIIT Hyderabad
Sneha,38,IIT Bombay
Manish,67,NIT Surathkal
Kiran,114,JNU
Kiran,118,IIT Delhi
Rahul,33,NIT Surathkal
Neha,132,IIT Madras
Vikas,154,IIT Madras
Priya,34,IIT Delhi
Riya,148,BITS Pilani
Simran,21,NIT Surathkal
Ankit,58,IIT Madras
Simran,72,DU
Sneha,119,IIIT Hyderabad
Sneha,168,NIT Surathkal
Kavita,173,IIT Bombay
Rahul,137,NIT Surathkal
Mehul,159,IIT Madras
Nisha,158,DU
Ankit,101,BITS Pilani
Vikas,59,IIT Madras
Nisha,29,IIT Delhi
Kavita,163,IIT Delhi
Arjun,166,IIIT Hyderabad
Pooja,77,IIT Madras
Arjun,103,NIT Trichy
Kiran,147,IIT Bombay
Vikas,85,IIT Kanpur
Kiran,136,IIT Kanpur
Arjun,119,IIT Bombay
Ankit,63,NIT Trichy
Deepak,102,IIT Madras
Rohit,151,DU
Simran,41,NIT Trichy
Mehul,178,IIT Kanpur
Pooja,145,NIT Trichy
Mehul,92,BITS Pilani
Manish,100,IIT Madras
Riya,174,NIT Trichy
Pooja,168,DU
Deepak,111,IIIT Hyderabad
Rohit,164,IIT Bombay
Rahul,68,NIT Trichy
Arjun,88,DU
Riya,104,IIT Madras
Vikas,132,IIT Kanpur
Nisha,20,IIT Delhi
Deepak,77,NIT Surathkal
Kiran,32,IIT Madras
Neha,137,DU
Rohit,83,IIT Bombay
Sneha,115,JNU
Suresh,142,IIT Delhi
Arjun,161,IIT Delhi
Arjun,140,NIT Surathkal
Manish,84,BITS Pilani
Pooja,22,IIT Kanpur
Kiran,120,IIT Bombay
Nisha,28,NIT Surathkal
Vikram,51,NIT Surathkal
Ankit,162,NIT Trichy
Kiran,151,NIT Trichy
Vikas,169,BITS Pilani
Suresh,169,BITS Pilani
Suresh,87,IIIT Hyderabad
Sneha,86,IIT Kanpur
Vikas,95,DU
Ankit,140,DU
Amit,114,DU
Suresh,139,BITS Pilani
Sneha,168,IIT Bombay
Kiran,110,IIT Madras
Manish,35,IIIT Hyderabad
Ankit,63,IIT Bombay
Deepak,142,JNU
Simran,24,JNU
Priya,170,IIT Bombay
Arjun,95,NIT Trichy
Nisha,46,IIT Bombay
Vikram,178,IIT Delhi
Rahul,43,DU
Vikram,144,JNU
Kavita,80,IIIT Hyderabad
Mehul,126,DU
Rahul,174,NIT Trichy
Kiran,102,JNU
Deepak,179,IIIT Hyderabad
Amit,149,IIT Bombay
Arjun,28,IIT Madras
Riya,80,NIT Trichy
Kavita,115,IIT Madras
Arjun,89,DU
Vikram,121,NIT Surathkal
Neha,120,JNU
Riya,172,DU
Mehul,174,IIT Madras
Kiran,127,NIT Surathkal
Manish,85,NIT Trichy
Simran,148,JNU
Vikas,126,IIT Madras
Manish,78,IIT Madras
Pooja,53,BITS Pilani
Vikas,153,JNU
Nisha,99,IIIT Hyderabad
Priya,161,DU
Deepak,22,DU
Simran,37,IIT Delhi
Nisha,78,JNU
Arjun,166,IIT Kanpur
Priya,59,IIT Madras
Kiran,174,NIT Trichy
Rahul,36,IIT Bombay
Neha,38,JNU
Rahul,45,NIT Surathkal
Manish,26,DU
Neha,44,IIIT Hyderabad
Kiran,140,BITS Pilani
Rahul,151,NIT Surathkal
Ankit,155,BITS Pilani
Simran,23,IIT Kanpur
Simran,67,DU
Kiran,55,NIT Trichy
Rahul,85,NIT Trichy
Nisha,60,NIT Trichy
Simran,167,NIT Trichy
Ankit,50,NIT Trichy
Deepak,158,BITS Pilani
Manish,125,IIT Delhi
Manish,172,NIT Trichy
Mehul,148,NIT Surathkal
Deepak,62,IIT Delhi
Rahul,29,IIT Delhi
Manish,102,IIIT Hyderabad
Sneha,139,IIT Delhi
Rahul,133,IIT Madras
Mehul,152,IIT Madras
Amit,179,IIT Madras
Simran,20,IIT Delhi
Riya,110,DU
Nisha,34,IIT Bombay
Arjun,144,IIT Delhi
Vikram,163,DU
Suresh,73,IIT Bombay
Sneha,101,IIIT Hyderabad
Nisha,110,BITS Pilani
Priya,41,IIT Delhi
Nisha,99,IIT Bombay
Kiran,29,JNU
Suresh,149,NIT Surathkal
Kavita,45,BITS Pilani
Rahul,93,IIT Bombay
Neha,117,DU
Rohit,179,IIT Madras
Arjun,146,BITS Pilani
Sneha,116,BITS Pilani
Priya,46,DU
Suresh,114,DU
Arjun,33,IIT Delhi
Kiran,154,IIT Delhi
Deepak,147,IIT Kanpur
Suresh,35,IIIT Hyderabad
Kavita,83,DU
Neha,144,IIT Kanpur
Neha,122,BITS Pilani
Nisha,44,JNU
Neha,119,NIT Surathkal
Vikas,178,NIT Trichy
Mehul,125,IIT Bombay
Rahul,165,IIT Bombay
Arjun,26,NIT Surathkal
Ankit,60,JNU
Rahul,173,IIT Bombay
Manish,90,IIT Kanpur
Amit,103,JNU
Deepak,154,IIT Delhi
Sneha,59,BITS Pilani
Pooja,113,JNU
Arjun,113,JNU
Manish,22,IIT Madras
Rohit,121,IIT Delhi
Amit,50,BITS Pilani
Mehul,36,BITS Pilani
Suresh,113,NIT Surathkal
Pooja,41,IIT Delhi
Riya,80,IIT Madras
Suresh,65,BITS Pilani
Amit,110,NIT Surathkal
Simran,124,BITS Pilani
Pooja,118,IIT Bombay
Rahul,115,IIT Delhi
Ankit,160,BITS Pilani
Mehul,40,BITS Pilani
Rahul,177,JNU
Amit,77,IIIT Hyderabad
Vikram,111,DU
Deepak,143,IIT Delhi
Deepak,170,JNU
Ankit,180,DU
Deepak,24,DU
Vikas,177,IIT Bombay
Pooja,77,DU
Riya,63,BITS Pilani
Rohit,61,BITS Pilani
Priya,61,IIIT Hyderabad
Neha,94,BITS Pilani
Manish,167,IIIT Hyderabad
Amit,57,DU
Vikas,145,JNU
Nisha,150,DU
Sneha,140,DU
Deepak,120,NIT Trichy
Ankit,175,DU
Suresh,87,IIT Bombay
Simran,153,DU
Rahul,155,IIT Bombay
Kiran,52,JNU
Ankit,57,IIT Bombay
Rahul,140,NIT Surathkal
Kavita,129,NIT Trichy
Kiran,60,NIT Surathkal
Pooja,90,JNU
Arjun,160,IIT Kanpur
Kavita,82,IIT Bombay
Ankit,165,IIT Bombay
Nisha,21,JNU
Sneha,176,NIT Surathkal
Pooja,147,BITS Pilani
Suresh,25,NIT Trichy
Rahul,169,DU
Vikas,98,NIT Trichy
Deepak,84,NIT Trichy
Kiran,33,JNU
Sneha,52,IIIT Hyderabad
Vikram,159,NIT Trichy
Kavita,39,IIIT Hyderabad
Suresh,43,IIT Bombay
Simran,73,DU
Pooja,164,NIT Trichy
Kavita,25,IIIT Hyderabad
Vikas,82,NIT Surathkal
Sneha,48,IIIT Hyderabad
Manish,93,IIT Delhi
Neha,93,IIT Bombay
Kavita,46,IIT Delhi
Riya,102,JNU
Deepak,30,IIT Delhi
Kiran,142,NIT Surathkal
Arjun,97,IIT Delhi
Rohit,93,IIT Delhi
Vikram,58,NIT Surathkal
Suresh,130,IIT Madras
Mehul,111,NIT Trichy
Rohit,154,IIIT Hyderabad
Neha,106,IIT Kanpur
Amit,174,BITS Pilani
Pooja,38,IIT Kanpur
Simran,105,IIT Delhi
Vikas,24,IIIT Hyderabad
Nisha,142,IIT Delhi
Rahul,140,NIT Surathkal
Kiran,111,IIIT Hyderabad
Neha,166,IIT Delhi
Arjun,56,DU
Riya,177,BITS Pilani
Kavita,176,IIT Kanpur
Ankit,129,NIT Trichy
Kiran,37,IIIT Hyderabad
Vikas,42,IIIT Hyderabad
Kavita,121,NIT Trichy
Arjun,42,IIT Bombay
Sneha,22,BITS Pilani
Ankit,160,IIT Madras
Rohit,83,JNU
Vikas,76,JNU
Vikas,86,IIIT Hyderabad
Sneha,124,IIIT Hyderabad
Rahul,160,BITS Pilani
Manish,74,IIT Bombay
Simran,128,NIT Trichy
Manish,121,IIT Kanpur
Nisha,175,IIIT Hyderabad
Rohit,73,IIT Bombay
Riya,102,IIT Delhi
Deepak,142,NIT Surathkal
Vikram,26,IIT Bombay
Pooja,178,NIT Surathkal
Deepak,64,IIT Madras
Arjun,56,IIT Bombay
Kavita,34,NIT Surathkal
Rahul,92,IIT Delhi
Pooja,164,IIT Delhi
Manish,151,DU
Vikas,113,BITS Pilani
Rohit,53,JNU
Amit,180,IIT Kanpur
Kiran,122,IIT Kanpur
Sneha,144,BITS Pilani
Manish,24,IIT Kanpur
Riya,74,IIT Kanpur
Simran,130,IIIT Hyderabad
Manish,76,NIT Trichy
Manish,69,IIT Kanpur
Vikram,48,NIT Surathkal
Kiran,80,IIT Delhi
Kiran,111,IIT Bombay
Suresh,128,IIT Madras
Vikram,118,IIT Kanpur
Simran,75,IIIT Hyderabad
Amit,67,BITS Pilani
Kavita,131,BITS Pilani
Deepak,104,NIT Trichy
Mehul,23,JNU
Mehul,42,IIT Delhi
Kavita,93,DU
Kavita,170,JNU
Suresh,103,JNU
Vikram,114,IIT Bombay
Arjun,170,JNU
Arjun,92,JNU
Pooja,74,IIT Delhi
Mehul,133,IIT Madras
Rohit,26,IIIT Hyderabad
Neha,51,IIT Bombay
Ankit,21,IIIT Hyderabad
Nisha,48,IIIT Hyderabad
Pooja,99,IIT Kanpur
Arjun,71,NIT Trichy
Rohit,42,IIIT Hyderabad
Mehul,158,JNU
Suresh,35,IIT Delhi
Vikas,62,IIT Madras
Ankit,43,BITS Pilani
Pooja,54,NIT Surathkal
Priya,45,JNU
Rahul,26,DU
Neha,92,IIIT Hyderabad
Amit,125,NIT Trichy
Amit,74,NIT Trichy
Deepak,99,IIIT Hyderabad
Simran,88,BITS Pilani
Amit,163,NIT Trichy
Simran,27,IIT Kanpur
Mehul,167,IIT Kanpur
Deepak,48,IIIT Hyderabad
Mehul,70,IIIT Hyderabad
Suresh,138,IIT Madras
Deepak,158,IIT Madras
Manish,115,IIT Madras
Sneha,25,NIT Surathkal
Kavita,26,IIT Delhi
Suresh,45,NIT Trichy
Kiran,73,IIT Madras
Pooja,57,NIT Surathkal
Simran,116,DU
Rohit,165,NIT Trichy
Pooja,115,DU
Arjun,50,IIIT Hyderabad
Priya,21,IIT Delhi
Priya,97,IIT Bombay
Ankit,156,IIT Madras
Ankit,94,NIT Trichy
Amit,28,DU
Vikram,90,IIT Madras
Sneha,86,IIIT Hyderabad
Simran,146,IIT Kanpur
Riya,61,NIT Surathkal
Rohit,47,NIT Trichy
Rohit,98,IIT Bombay
Vikram,162,NIT Surathkal
Arjun,163,IIT Delhi
Mehul,146,JNU
Vikram,167,JNU
Manish,71,DU
Riya,29,IIT Madras
Amit,178,IIT Bombay
Riya,78,IIT Madras
Rohit,98,BITS Pilani
Priya,106,IIT Delhi
Riya,49,DU
Arjun,47,JNU
Neha,105,BITS Pilani
Kavita,47,IIT Madras
Kiran,137,JNU
Priya,108,IIT Kanpur
Ankit,141,IIT Delhi
Kiran,92,IIIT Hyderabad
Amit,71,IIT Kanpur
Deepak,77,JNU
Kiran,101,IIT Delhi
Kiran,165,IIT Madras
Suresh,102,IIT Madras
Sneha,148,BITS Pilani
Priya,39,IIT Bombay
Vikas,92,IIT Delhi
Sneha,116,JNU
Rahul,147,JNU
Vikram,22,DU
Arjun,163,NIT Trichy
Vikram,164,JNU
Sneha,124,IIT Delhi
Vikram,116,IIT Kanpur
Neha,29,BITS Pilani
Priya,146,NIT Trichy
Amit,26,JNU
Kiran,65,BITS Pilani
Arjun,72,IIT Madras
Vikas,24,IIIT Hyderabad
Nisha,52,DU
Mehul,102,IIIT Hyderabad
Sneha,36,IIT Madras
Manish,168,NIT Surathkal
Riya,104,IIIT Hyderabad
Vikas,163,IIT Kanpur
Simran,39,NIT Trichy
Sneha,123,NIT Surathkal
Rohit,23,IIT Bombay
Ankit,138,NIT Surathkal
Arjun,169,IIT Madras
Neha,81,NIT Surathkal
Amit,156,JNU
Simran,156,JNU
Manish,149,IIT Kanpur
Arjun,71,NIT Surathkal
Ankit,109,IIT Delhi
Manish,97,IIIT Hyderabad
Riya,112,BITS Pilani
Amit,166,IIIT Hyderabad
Mehul,111,DU
Kavita,167,NIT Surathkal
Pooja,60,IIT Delhi
Riya,112,IIIT Hyderabad
Nisha,166,IIT Bombay
Neha,139,BITS Pilani
Deepak,118,IIT Bombay
Riya,68,DU
Neha,59,BITS Pilani
Arjun,106,IIIT Hyderabad
Riya,144,NIT Surathkal
Arjun,24,IIT Madras
Pooja,96,NIT Trichy
Suresh,96,BITS Pilani
Deepak,84,JNU
Simran,59,JNU
Simran,153,DU
Priya,171,IIT Delhi
Riya,136,IIT Delhi
Nisha,159,DU
Nisha,100,IIT Madras
Rohit,177,IIT Delhi
Rahul,131,JNU
Ankit,74,NIT Surathkal
Vikas,65,IIIT Hyderabad
Manish,127,BITS Pilani
Vikram,109,IIIT Hyderabad
Rahul,70,NIT Surathkal
Riya,89,IIT Kanpur
Deepak,98,IIT Madras
Ankit,110,DU
Riya,102,NIT Surathkal
Suresh,134,DU
Ankit,180,IIT Kanpur
Neha,86,DU
Kavita,145,IIT Delhi
Neha,104,DU
Priya,93,NIT Trichy
Deepak,80,IIT Kanpur
Rahul,109,IIT Kanpur
Simran,113,BITS Pilani
Simran,66,IIT Kanpur
Ankit,124,DU
Mehul,84,DU
Simran,64,BITS Pilani
Simran,29,IIT Bombay
Priya,119,NIT Trichy
Manish,30,IIIT Hyderabad
Vikas,45,IIT Delhi
Riya,165,BITS Pilani
Kavita,111,DU
Priya,117,NIT Trichy
Simran,101,IIT Kanpur
Rahul,164,IIT Kanpur
Amit,131,IIT Delhi
Rahul,109,BITS Pilani
Pooja,23,IIT Delhi
Sneha,152,IIT Bombay
Kiran,168,BITS Pilani
Kavita,37,IIT Bombay
Kiran,151,DU
Deepak,54,IIT Madras
Simran,76,DU
Ankit,35,IIT Bombay
Arjun,30,BITS Pilani
Kavita,28,NIT Trichy
Rohit,164,NIT Surathkal
Manish,24,JNU
Amit,159,IIIT Hyderabad
Rohit,87,JNU
Simran,99,JNU
Manish,133,IIT Bombay
Amit,93,IIT Delhi
Nisha,137,IIIT Hyderabad
Priya,161,IIT Bombay
Kiran,175,BITS Pilani
Suresh,149,IIIT Hyderabad
Nisha,42,NIT Surathkal
Pooja,43,NIT Surathkal
Riya,62,IIT Kanpur
Kiran,126,IIIT Hyderabad
Neha,82,IIT Delhi
Mehul,110,DU
Arjun,175,IIT Kanpur
Mehul,175,IIT Delhi
Pooja,173,JNU
Suresh,168,NIT Trichy
Mehul,118,IIT Delhi
Vikram,79,IIT Madras
Rahul,153,IIT Bombay
Kavita,79,IIT Kanpur
Rohit,64,IIT Madras
Kavita,132,JNU
Sneha,20,IIIT Hyderabad
Vikas,99,DU
Manish,179,NIT Surathkal
Riya,35,IIT Kanpur
Nisha,51,IIT Kanpur
Mehul,83,IIT Kanpur
Vikas,32,NIT Surathkal
Priya,149,IIT Delhi
Nisha,166,IIT Kanpur
Kavita,62,DU
Vikram,71,BITS Pilani
Rahul,104,JNU
Rahul,34,BITS Pilani
Riya,51,IIT Madras
